sample_id	contig_id	bgc_id	gcf_id	product	products_list	near_contig_edge_status	bgc_length_bp	pig_body_site	pig_body_site_type
LK2510	LK2510.3	LK2510.3.region001	2503	T1PKS	T1PKS	Not Near Contig Edge	44782	Ventral	dry
LK2510	LK2510.20	LK2510.20.region001	2501	terpene	terpene	Near Contig Edge	20882	Ventral	dry
LK2510	LK2510.21	LK2510.21.region001	2502	ectoine	ectoine	Near Contig Edge	8878	Ventral	dry
LK2510	LK2510.5	LK2510.5.region001	2504	NAPAA	NAPAA	Not Near Contig Edge	33810	Ventral	dry
LK2561	LK2561.3	LK2561.3.region004	2533	terpene	terpene	Not Near Contig Edge	20834	Dorsal	dry
LK2561	LK2561.8	LK2561.8.region002	2538	ectoine	ectoine	Not Near Contig Edge	10411	Dorsal	dry
LK2561	LK2561.3	LK2561.3.region003	2532	multi-type (with PKS)	NRPS|transAT-PKS|opine-like-metallophore	Not Near Contig Edge	78824	Dorsal	dry
LK2561	LK2561.3	LK2561.3.region001	2530	terpene	terpene	Not Near Contig Edge	20379	Dorsal	dry
LK2561	LK2561.2	LK2561.2.region002	2529	cyclic-lactone-autoinducer	cyclic-lactone-autoinducer	Not Near Contig Edge	20667	Dorsal	dry
LK2561	LK2561.13	LK2561.13.region001	2527	T3PKS	T3PKS	Near Contig Edge	26845	Dorsal	dry
LK2561	LK2561.6	LK2561.6.region001	2536	RRE-containing	RRE-containing	Not Near Contig Edge	20291	Dorsal	dry
LK2561	LK2561.3	LK2561.3.region005	2534	transAT-PKS	transAT-PKS	Near Contig Edge	82321	Dorsal	dry
LK2561	LK2561.1	LK2561.1.region002	2526	cyclic-lactone-autoinducer	cyclic-lactone-autoinducer	Not Near Contig Edge	20534	Dorsal	dry
LK2561	LK2561.4	LK2561.4.region001	2535	proteusin	proteusin	Near Contig Edge	20240	Dorsal	dry
LK2561	LK2561.8	LK2561.8.region001	2537	multi-type	lassopeptide|RRE-containing	Not Near Contig Edge	22752	Dorsal	dry
LK2561	LK2561.1	LK2561.1.region001	2525	multi-type	NRPS|NRP-metallophore	Not Near Contig Edge	52000	Dorsal	dry
LK2561	LK2561.3	LK2561.3.region002	2531	NRPS-like	NRPS-like	Not Near Contig Edge	41401	Dorsal	dry
LK2561	LK2561.9	LK2561.9.region001	2539	NRPS-like	NRPS-like	Not Near Contig Edge	43717	Dorsal	dry
LK2561	LK2561.2	LK2561.2.region001	2528	terpene	terpene	Not Near Contig Edge	21926	Dorsal	dry
LK2536	LK2536.3	LK2536.3.region001	2555	multi-type (with PKS)	T1PKS|prodigiosin	Not Near Contig Edge	50487	Inguinal	moist
LK2536	LK2536.3	LK2536.3.region002	2554	multi-type	terpene|NAPAA	Not Near Contig Edge	54621	Inguinal	moist
LK2521	LK2521.3	LK2521.3.region002	2555	multi-type (with PKS)	T1PKS|prodigiosin	Not Near Contig Edge	50483	Axilla	moist
LK2521	LK2521.3	LK2521.3.region001	2554	multi-type	terpene|NAPAA	Not Near Contig Edge	54637	Axilla	moist
LK2492	LK2492.7	LK2492.7.region001	2500	betalactone	betalactone	Not Near Contig Edge	29870	Dorsal	dry
LK2492	LK2492.2	LK2492.2.region001	2496	RRE-containing	RRE-containing	Not Near Contig Edge	20297	Dorsal	dry
LK2492	LK2492.2	LK2492.2.region002	2497	RiPP-like	RiPP-like	Not Near Contig Edge	10288	Dorsal	dry
